"Brand","Price","Photo","Model.Number","Engine.Type","Fuel.Type","Air.Conditioner","Heater","AntiLock.Braking.System","Central.Locking","Power.Steering","Power.Windows","Leather.Seats","Anti.Lock.Braking","Brake.Assist","Central.Locking.1","Power.Door.Locks","Child.Safety.Locks","Night.Rear.View.Mirror","Rear.Seat.Belts","Door.Ajar.Warning","Adjustable.Seats","Crash.Sensor","Engine.Check.Warning","Rear.Camera","Anti.Theft.Device","Touch.Screen","Audio.System.Remote.Control","Speakers.Front...back","Bluetooth.Connectivity","USB...Auxiliary.Input","Adjustable.Steering.Column","Height.Adjustable.Driving.Seat","Digital.Clock","Smoke.Headlamps","Electric.Folding.Rear.View.Mirror","Automatic.Climate.Control","Low.Fuel.Warning.Light","Parking.Sensors","Bottle.Holder","Voice.Control","Seat.Belt.Warning","Vehicle.Stability.Control.System","Engine.Immobilizer","Rear.Reading.Lamp","Radio","Outside.Temperature.Display","Fog.Lights.Front...Back","Centrally.Mounted.Fuel.Tank","CD.Player","DVD.Player","Electric.Adjustable.Seats","Keyless.Entry","Tyre.Pressure.Monitor","Smart.Access.Card.Entry","Xenon.Headlamps","Halogen.Headlamps","Removable.Convertible.Top","Cassette.Player","power_hp","pojemnosc_L","moment_obrotowy_lb_ft","wysokosc_in","dlugosc_in","szerokosc_in","rozstaw_osi_in","przeswit_in","cylindry","bak","skrzynia_biegow","naped","siedzenia","drzwi","waga_lbs","paliwo","city_mpg","highway_mpg","nadwozie","Safety","Punkty_spalanie_miasto","Punkty_spalanie_trasa","Punkty_spalanie_srednie","moc_masa","Punkty_moc_masa","Punkty_moment_obrotowy","Punkty_dynamika","Punkty_naped_terenowy","Punkty_nadwozie_terenowe","Punkty_przeswit","Punkty_wlasciwosci_terenowe","Punkty_bezpieczenstwo_wyposazenie","rozmiar","Punkty_rozmiar","Punkty_bezpieczenstwo","Punkty_rozmiar_silnika","Punkty_naped_sportowy","Punkty_cylindry","Punkty_nadwozie_sportowe","Punkty_sportowy_charakter","Punkty_cena","Punkty_rozmiar_miasto","Punkty_miasto","Punkty_rozmiar_trasa","Punkty_paliwo_trasa","Punkty_pojemnosc_baku","Punkty_trasa","Punkty_siedzenia","Punkty_rodzinny","Punkty_uniwersalny"
"Acura",29950,"https://www.ccarprice.com/products/Acura_ILX_Premium__A-Spec_Package_2021.jpg","ILX Premium & A-Spec Package 2021","2.4-liter Inline-4 Gas","Premium","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","Yes","","","","","","","",201,2.4,180,55.6,182.2,70.6,105.1,NA,4,35,"Automatic","front",5,4,3144,"Petrol",24,34,"Sedan",6.9,6.4,4.2,5.3,0.0639312977099237,1.1,0.7,1.1,3,3,0,2.2,7.8,715200.592,3.3,5.4,1.8,2,0.8,6,2.6,10,6.7,6.8,1,10,0.5,5.3,2.9,4.1,7
"Acura",61750,"https://www.ccarprice.com/products/Acura-MDX-PMC-Edition-2021.jpg","MDX PMC Edition 2021","3.5-liter V6 Gas","Premium","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","","Yes","","","","","",290,3.5,267,67.4,196.2,77.7,111,5.6,6,52,"Automatic","all",6,4,4303,"Petrol",19,25,"SUV",7.5,7.2,5.8,6.5,0.0673948408087381,1.1,1,1.2,7,8,3.5,6.9,8.3,1027495.476,4.7,6.5,3,8,2.3,4,4.3,10,5.3,6.4,1,10,0.7,5.9,3.6,5.5,7.7
"Acura",27950,"https://www.ccarprice.com/products/Acura_ILX_Premium_Package_2021.jpg","ILX Premium Package 2021","2.4-liter Inline-4 Gas","Premium","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes","Yes","","","","","Yes","","","","","","","",201,2.4,180,55.6,182.2,70.6,105.1,NA,4,35,"Automatic","front",5,4,3122,"Petrol",24,34,"Sedan",6.6,6.4,4.2,5.3,0.0643818065342729,1.1,0.7,1.1,3,3,0,2.2,7.8,715200.592,3.3,5.4,1.8,2,0.8,6,2.6,10,6.7,6.8,1,10,0.5,5.3,2.9,4.1,7
"Acura",44620,"https://www.ccarprice.com/products/Acura-MDX-3.5L-FWD-2021.jpg","MDX 3.5L FWD 2021","3.5-liter V6 Gas","Premium","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","","Yes","","","","Yes","",290,3.5,267,67.4,196.2,77.7,111,5.6,6,52,"Automatic","front",7,4,4032,"Petrol",20,27,"SUV",7.8,7,5.4,6.2,0.0719246031746032,1.2,1,1.3,3,8,3.5,5.4,8.3,1027495.476,4.7,6.5,3,2,2.3,4,2.8,10,5.3,6.4,1,10,0.7,5.8,4.3,5.9,7.8
"Genesis",48000,"https://www.ccarprice.com/products/Genesis_G80_2022.jpg","G80 2.5T 2022","2.5L Turbo Inline-4 Gas","Gasoline","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","","Yes","","","","Yes","Yes","Yes","","","","","","","",300,2.5,311,57.7,196.7,75.8,118.5,5.5,8,45,"Automatic","rear",5,4,3957,"Petrol",23,32,"Sedan",6.6,6.6,4.6,5.6,0.0758150113722517,1.3,1.2,1.4,10,3,3.4,6.1,7.2,860298.922,4,5.4,1.9,10,3.8,6,5.4,10,6,6.5,0,10,0.6,5.1,2.9,4.6,7
"Genesis",48250,"https://www.ccarprice.com/products/Genesis_G80_2023_1.jpg","G80 2.5T 2023","2.5L Turbo Inline-4 Gas","Gasoline","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","","Yes","","","","Yes","Yes","Yes","","","","","","","",300,2.5,311,57.7,196.7,75.8,118.5,5.5,8,45,"Automatic","rear",5,4,3957,"Petrol",23,32,"Sedan",6.6,6.6,4.6,5.6,0.0758150113722517,1.3,1.2,1.4,10,3,3.4,6.1,7.2,860298.922,4,5.4,1.9,10,3.8,6,5.4,10,6,6.5,0,10,0.6,5.1,2.9,4.6,7
"Genesis",55550,"https://www.ccarprice.com/products/Genesis_GV80_2023_1.jpg","GV80 2.5T 2023","2.5L Turbo Inline-4 Gas","Premium","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","","","","","","Yes","Yes","Yes","Yes","","","","",300,2.5,311,67.5,194.7,77.8,116.3,8.1,NA,56,"Automatic","all",5,4,4850,"Petrol",20,24,"SUV",7.8,7,5.9,6.4,0.0618556701030928,1,1.2,1.3,7,8,5.1,7.5,8.3,1022467.05,4.7,6.5,1.9,8,0,4,3.4,10,5.3,6.4,1,10,0.7,5.9,2.9,5,7.5
"Genesis",42900,"https://www.ccarprice.com/products/Genesis_GV70_2023.jpg","GV70 2.5T 2023","2.5L Turbo Inline-4 Gas","Gasoline","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","Yes","Yes","","","","","",300,2.5,311,64.2,185.6,75.2,113.2,7.3,4,46,"Automatic","all",5,4,4167,"Petrol",19,26,"SUV",8.4,7.2,5.6,6.4,0.0719942404607631,1.2,1.2,1.4,7,8,4.6,7.3,9.4,896047.104,4.1,6.9,1.9,8,0.8,4,3.7,10,5.9,6.8,0,10,0.6,5.4,2.9,4.6,7.3
"Genesis",67890,"https://www.ccarprice.com/products/Genesis_GV60_Performance_2023.jpg","GV60 Performance 2023","Electric","Electric","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","Yes","Yes","","","","","",429,NA,446,NA,NA,NA,NA,NA,NA,NA,"Automatic","all",5,4,NA,"Electric",0,0,"SUV",8.8,10,10,10,0,0,1.7,0.9,7,8,0,5.6,9.4,NA,0,4.3,0,8,0,4,2.7,10,0,5.2,0,2,0,4.1,2.9,1.8,4.8
"Genesis",59290,"https://www.ccarprice.com/products/Genesis_GV60_Advanced_2023.jpg","GV60 Advanced 2023","Electric","Electric","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Yes","Yes","Yes","","","","","",314,NA,446,NA,NA,NA,NA,NA,NA,NA,"Automatic","all",5,4,NA,"Electric",0,0,"SUV",8.8,10,10,10,0,0,1.7,0.9,7,8,0,5.6,9.4,NA,0,4.3,0,8,0,4,2.7,10,0,5.2,0,2,0,4.1,2.9,1.8,4.8
